Comment,Designator,Footprint,LCSC,Quantity
100k,"R2,R8",R_0805_2012Metric,C149504,2
100uF,C3,CP_Elec_6.3x7.7,C165974,1
10k,R1,R_0805_2012Metric,C17414,1
1k,"R4,R6",R_0805_2012Metric,C17513,2
27k,"R3,R9",R_0805_2012Metric,C17593,2
3.3k,R5,R_0805_2012Metric,C26010,1
10uF,"C1,C2",C_0805_2012Metric,C440198,2
Si7336ADP,Q1,PowerPAK_SO-8_Single,C469326,1
AMS1117-5.0,U1,SOT-223-3_TabPin2,C6187,1
MMBT2222A,Q2,SOT-23,C8512,1
Conn_01x03,J6,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,,1
Conn_01x07,J2,PinSocket_1x07_P2.54mm_Vertical,,1
Conn_01x02,J3,AMASS_XT30U-M_1x02_P5.0mm_Vertical,,1
BIGSWITCH,SW1,BIGSWITCH,,1
Conn_01x02,J5,AMASS_XT30U-F_1x02_P5.0mm_Vertical,,1
Conn_01x07,J1,PinSocket_1x07_P2.54mm_Vertical,,1
Conn_01x02,J4,AMASS_XT30U-F_1x02_P5.0mm_Vertical,,1
